nama_rptra,kecamatan,kelurahan,alamat,kota,tanggal_peresmian,ketersediaan_ruang _laktasi
RPTRA Gebang Sari,Cipayung,Bambu Apus,"Taman Caliandra, Jl. Gebangsari Dalam V RT. 02/ RW 05",Jakarta Timur,20 Oktober 2016,Ya
RPTRA Kelapa Nias IX,Kelapa Gading,Pegangsaan Dua,Taman Jl. Kelapa Nias IX RT. 08 RW. 017,Jakarta Utara,20 Oktober 2016,Ya
RPTRA Kecapi,Pasar Minggu,Kebagusan,Jl. Kebagusan 4 RT.011/04,Jakarta Selatan,20 Oktober 2016,Ya
RPTRA Ceria,Kalideres,Pegadungan,"Komp. Damkar, Rumah Susun Damkar Jl. Taman Surya V",Jakarta Barat,20 Oktober 2016,Ya
RPTRA Ikapola,Duren Sawit,Pondok Kelapa,"Taman Ikapola Kavling DKI, Jl Pondok Kelapa 1B",Jakarta Timur,20 Oktober 2016,Ya
RPTRA Tunas Harapan,Tanjung Priok,Sunter Jaya,Jalan Haji Amsir RW. 003,Jakarta Utara,20 Oktober 2016,Ya
RPTRA Joglo,Kembangan,Joglo,Komplek DKI Joglo Blok R,Jakarta Barat,20 Oktober 2016,Ya
RPTRA Biru Laut,Kelapa Gading,Kelapa Gading Timur,Jl. Biru Laut Tengah Komplek Walikota RT. 009 RW. 010,Jakarta Utara,20 Oktober 2016,Ya
RPTRA Kampung Benda,Cempaka Putih,Cempaka Putih Timur,Jl. Cempaka Putih Tengah XV RT 002 RW 08,Jakarta Pusat,20 Oktober 2016,Ya
RPTRA Akasia,Tebet,Tebet Barat,"Tebet Barat Raya Rt 011, Rw 07",Jakarta Selatan,20 Oktober 2016,Ya
RPTRA Intiland Teduh @ Semper Barat,Cilincing,Semper Barat,Jl. Bengawan Solo RW 01,Jakarta Utara,22 Oktober 2016,Ya
