wilayah,lokasi_binaan,kelurahan,kecamatan
Jakarta Barat,BGN Bangun Nusa ,Cengkareng Timur,Cengkareng
Jakarta Barat,Rawa Buaya,Duri Kosambi,Cengkareng
Jakarta Barat,Meruya Utara,Meruya Utara,Kembangan
Jakarta Barat,Kota Intan,Pinangsia,Tamansari
