wilayah,kecamatan,kelurahan,nama_mini_market,nama_pemilik,alamat,luas_efektif_usaha,nomor_siup,nomor_tdp,nomor_uug,nomor_domisili,nomor_imb,nomor_slf,izin_operasional,jam_buka,jam_tutup,status_kepemilikan,jarak_dengan_pasar_tradisional,keterangan,,
Jakarta Barat,Kebun Jeruk,Sukabumi Utara,Indomaret ,PT. Indomarco Prismatama,Jl. Harun Raya No. 43 RT.006/07,60,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,154/I/DU/JB/12/2014 Tgl. 17/12/ 2014,159/1.824.54 Tgl. 22/09/ 2014,06090/ IMB/2004 Tgl. 09/07/ 2004,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Sukabumi Utara,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Sulaiman RT.006/03,95,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Sukabumi Utara,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Harun Raya RT.007/07,60,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,,,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Sukabumi Utara,Alfamidi,PT. Midi Utama Indonesia,Jl. Raya Kebayoran Lama No. 3 RT.006/01,300,0032/PB/VII/BPPMPT/ 2013 Tgl. 30/08/ 2013,30.06.1.46. 04463 Tgl. 31/07/2013,425/9/JB/ 2014,102/1.824.54 Tgl. 12/06/ 2014,,,,'24 Jam,'24 jam,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Sukabumi Utara,Circle K,PT. Circleka Indonesia Utama,Jl. Anggrek Cakra No. 25 RT.004/06 ,50,00012-05/ PB/P/1.824. 271 Tgl. 27/08/ 2010,09.04.1.46. 30753,234/5/JB/ 2010,,,,,'24 Jam,'24 jam,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Sukabumi Utara,Prima Freshmart,PT. Prima Food Internasional,Jl. Raya Kebayoran Lama No. 3 RT.006/01,30,,,,,,,,'07.00,'22.00,,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Kedoya Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kedoya Duri Raya No. 2 RT.001/01,120,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,14/1.824. 51/I/2011,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kedoya Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kedoya Raya No. 5 dan 6 RT.002/02,120,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,15/1.824. 51/I/2011,,,,'24 Jam,'24 jam,Sewa,> 500 M,Wsn,,
Jakarta Barat,Kebun Jeruk,Kedoya Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kedoya Duri Raya No. 5-6 F RT.008/01,120,0025/PB/VII/ BPPT/2011,09.02.5.47. 33935,446/VIII/JB/ 2010 Tgl. 30/08/ 2010,296/1.824.51/V/2012 Tgl. 23/05/ 2012,,,3743/-1.824. 26 Tgl. 29-06-2012,'07.00,'22.00,Sewa,> 500 M,Kkt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Kedoya Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kedoya Raya No. 20 A RT.008/02,400,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,133/3/JB/ 2010,16/1.824. 51/I/2011,,,,'24 Jam,'24 jam,Sewa,> 500 M,Wsn,,
Jakarta Barat,Kebun Jeruk,Kedoya Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kondominium Wesling Kedoya Kav. I RT.012/05,200,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wfl,,
Jakarta Barat,Kebun Jeruk,Kedoya Selatan,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kedoya Raya No. 2 RT.008/02,80,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kedoya Selatan,Indomaret,PT. Indomarco Prismatama,Jl. Kedoya Raya 5-6 RT.002/07,200,00254-02/ PB/P/1.824. 271,09.02.5.47. 34268 Tgl. 25/10/2013,155/I/DU/JB/12/2014 Tgl. 17/12/ 2014,715/1.824.51/VIII/ 2014 Tgl. 22/09/ 2014,08035/ IMB/2001 Tgl. 10/09/ 2001,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kedoya Selatan,Circle K,PT. Circleka Indonesia Utama,Jl. Pilar Baru,100,00012-05/ PB/P/1.824. 271 Tgl. 27/08/ 2010,09.04.1.46. 30753,,,,,,,,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kebon Jeruk Raya No. 9 RT.004/09,200,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Arjuna Selatan No. 28 RT.001/012,200,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,240/5/JB/ 2010,,,,,'07.00,'22.00,Sewa,> 500 M,Kkt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kebon Jeruk Raya No. 19 RT.014/02,200,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kebon Jeruk Raya No. 16 RT.006/01,180,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Masjid Assurur RT.009/01,160,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Raya Pejuangan RT.001/010,150,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Lapangan Bola No. 3 RT.003/010,150,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,452/VIII/JB/ 2010 Tgl. 30/08/ 2010,322/1.824.54 Tgl. 30/06/ 2010,,,3743/-1.824. 26 Tgl. 29-06- 2012,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Raya Kelapa Dua RT.004/01,150,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Indomaret,PT. Indomarco Prismatama,Jl. Kebon Jeruk Raya No. 32 RT.011/02,150,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,255/XI/JB/ 2007 Tgl. 21/11/ 2007,490/1.824.511 Tgl. 20/09/ 2007,,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Indomaret,PT. Indomarco Prismatama,Jl. Budi Raya No. 2 RT.001/05,80,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,004/I/JB/2008,402/1.824.54 Tgl. 30/05/ 2013,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Indomaret,PT. Indomarco Prismatama,Jl. Pejuangan No. 17 RT.010/07,100,00254-02/PB/ P/1.824. 271,09.01.1.46. 92196,152/II/DU/JB/12/2014 Tgl. 17/12/ 2014,662/1.824 Tgl. 22/09/ 2014,11011/ IMB/2005 Tgl. 21/09/ 2005,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Indomaret,PT. Indomarco Prismatama,Jl. Kelapa Dua Raya No. 15 RT.002/013 (SPBU),120,00254-02/PB/ P/1.824. 271,09.01.1.46. 92196,654/8/JB/ 2013 Tgl. 23/08/ 2013,440/1.824.54 Tgl. 17/06/ 2013,,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Indomaret,PT. Indomarco Prismatama,Jl. Kebon Jeruk Raya RT.009/01,120,00254-02/PB/ P/1.824. 271,09.01.1.46. 92196,741/9/JB/ 2013 Tgl. 20/09/ 2013,661/1.824.54 Tgl. 22/09/ 2014,1394/IMB/2011 Tgl. 17/02/ 2011,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Indomaret,PT. Indomarco Prismatama,Jl. Pejuangan RT.003/07,130,00254-02/PB/ P/1.824. 271,09.01.1.46. 92196,907/11/JB/ 2013 Tgl. 08/11/ 2013,888/1.824.54 Tgl. 12/12/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Alfa Midi,PT. Midi Utama Indonesia,Jl. Kebon Jeruk Raya No. 5 RT.001/03,500,0032/PB/VII/BPPMPT/ 2013 Tgl. 30/08/ 2013,30.06.1.46. 04463 Tgl. 31/07/2013,,,1837/IMB/2010,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kebun Jeruk,Circle K,PT. Circleka Indonesia Utama,Jl. Budi Raya SMU 78 Gd. Apat. Binus Square,140,00012-05/PB/ P/1.824.271 Tgl. 27/08/ 2010,09.04.1.46. 30753,,,,,,'07.00,'22.00,Sewa,> 500 M,Wfl,,
Jakarta Barat,Kebun Jeruk,Kelapa Dua,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Raya Kelapa Dua RT.001/06,140,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Kelapa Dua,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Raya Pos Pengumben RT.001/05,140,0025/PB/VII/ BPPT/2011,30.06.1.46 .01725,,,,,,'07.00,'22.00,Sewa, < 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kelapa Dua,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kelapa Dua Raya No. 20 RT.006/05,140,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,450/8/JB/ 2010,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kelapa Dua,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Sasak III RT.001/02 (depan Pom Bensin),200,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,135/3/JB/ 2010,,,,,'07.00,'22.00,Sewa,> 500 M,Wfl,,
Jakarta Barat,Kebun Jeruk,Kelapa Dua,Alfamart,PT. Sumber Alfaria Trijaya,Jl. H. Kelik RT.001/08,180,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kelapa Dua,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Anggrek RT.009/02,150,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kelapa Dua,Indomaret,PT. Indomarco Prismatama,Jl. Raya Kelapa Dua No. 33 RT.001/02,180,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,,55/1.824. 51/2014 Tgl. 23/10/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Kelapa Dua,Indomaret,PT. Indomarco Prismatama,Jl. Panjang / Arteri Kelapa Dua No. 8 RT.008/02,180,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,551/10/JB/ 2014 Tgl. 24/10/ 2014,209/1.824.511/2014 Tgl. 09/10/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Kelapa Dua,Alfa Midi,PT. Midi Utama Indonesia,Jl. Raya Panjang Kelapa Dua RT.001/03,365,0032/PB/VII/BPPMPT/ 2013 Tgl. 30/08/ 2013,30.06.1.46. 04463 Tgl. 31/07/2013,395/8/JB/ 2010,96/1.824. 511/2012,3327/IMB/2008,,4999/-1.824. 26 Tgl. 19-09-2012,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Kelapa Dua,Circle K,PT. Circleka Indonesia Utama,Jl. Pos Pengumben Raya No. 168 RT.001/06,100,00012-05/ PB/P/1.824. 271 Tgl. 27/08/ 2010,09.04.1.46. 30753,,,,,,,,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Duri Raya RT.001/07,100,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,71/2/JB/2010,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kebon Raya No. 7 RT.001/01,80,0025/PB/VII/ BPPT/2011,09.02.5.47. 33934,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Alfamart,PT. Sumber Alfaria Trijaya,Gang Macan RT.002/05,100,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Green Ville  No. A/25 RT.003/09,60,0025/PB/VII/ BPPT/2011,09.02.5.47. 33931,014/I/JB/2008 Tgl. 18/01/ 2008,297/1.824.51/V/2012 Tgl. 23/05/ 2012,6776/IMB/1995 Tgl. 28/06/ 1995,,3743/-1.824. 26 Tgl. 29-06-2012,'07.00,'22.00,Sewa,> 500 M,KKt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Asia Baru RT.008/04,70,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Arjuna Utara No. 91 RT.009/01,100,0025/PB/VII/ BPPT/2011,09.02.5.47. 33933,138/3/JB/ 2010 Tgl. 26/03/ 2010,303/1.824 Tgl. 22/05/ 2012,,,3743/-1.824. 26 Tgl. 29-06-2012,'07.00,'22.00,Sewa,> 500 M,KKt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Indomaret,PT. Indomarco Prismatama,Jl. Kebon Raya II / 8 No. 09 RT.001/01,100,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,,906/1.842/2014 Tgl. 11/12/ 2014,7856/IMB/2012 Tgl. 29/06/ 2012,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Indomaret,PT. Indomarco Prismatama,Jl. Kebon Raya  No. 25 RT.008/06,100,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,100/2/JB/ 2013 Tgl. 14/02/ 2013,253/1.824 Tgl. 26/06/ 2013,1545/IMB/1981 Tgl. 28/03/ 1981,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Indomaret,PT. Indomarco Prismatama,"Taman Ratu (Gang Macan) VW 2, 2A,2B RT.002/05",100,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,206/3/JB/ 2013 Tgl. 22/03/ 2013,709/1.824 Tgl. 26/09/ 2014,4543/IMB/2012 Tgl. 17/04/ 2012,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Indomaret,PT. Indomarco Prismatama,Jl. Green Ville Blok A/24 RT.011/09,160,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,433/5/JB/ 2013 Tgl. 30/05/ 2013,706/1.824 Tgl. 26/09/ 2014,,,4705/-1.824. 26 Tgl. 31-08-2012,'07.00,'22.00,Sewa,> 500 M,Kkt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Indomaret,PT. Indomarco Prismatama,Komp. Green Ville Blok AY No. 17-18 RT.009/09,180,00254-02/ PB/P/1.824. 271,09.01.1.46. 92196,65/I/JB/2013 Tgl. 29/01/ 2013,707/1.824 Tgl. 26/09/ 2014,13563/ IMB/2011 Tgl. 08/12/ 2011,,,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Indomaret,PT. Indomarco Prismatama,Jl. Ratu Kemuning Blok AS No. 37 D RT.008/014,70,00254-02/PB/ P/1.824.271,09.02.5.47. 34267 Tgl. 25/10/2013,03/I/JB/2010 Tgl. 15/01/ 2010,708/1.824 Tgl. 26/09/ 2014,03603/ IMB/2005 Tgl. 13/04/ 2005,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Indomaret,PT. Indomarco Prismatama,Jl. Taman Ratu D1/27 RT.006/013,142,00254-02/PB/ P/1.824.271,09.01.1.46. 92196,49/I/DU/JB/ 4/2012 Tgl. 17/11/ 2011,907/1.842/12/2014 Tgl. 11/12/ 2014,511/IMB/ 1983 Tgl. 02/02/ 1983,,4705/-1.824. 26 Tgl. 31-08-2012,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Indomaret,PT. Indomarco Prismatama,Jl. Raya Kepa No. 2F-2G,160,00254-02/PB/ P/1.824.271,09.01.1.46. 92196,52/II/DU/JB/ 5/2012 Tgl. 16/05/ 2012,52/II/DU/JB/5/2012 Tgl. 16/05/ 2012,580/1.824 Tgl. 08/10/ 2012,,4705/-1.824. 26 Tgl. 31-08-2012,'07.00,'22.00,Sewa,> 500 M,Kkt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Alfa Midi,PT. Midi Utama Indonesia,Jl. Green Ville Blok C1 No. 1 RT.003/09,120,0032/PB/VII/BPPMPT/ 2013 Tgl. 30/08/ 2013,30.06.1.46. 04463 Tgl. 31/07/2013,,,4342/IMB/2011,,,'07.00,'22.00,Sewa,> 500 M,Wkt/Wdg,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Starmart,,Jl. Arjuna Utara RT.001/02,120,,,,,,,,'07.00,'22.00,Sewa,> 500 M,Wkt/Wdg,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Circle K,PT. Circleka Indonesia Utama,Jl. Arjuna Utara,100,00012-05/ PB/P/1.824. 271 Tgl. 27/08/ 2010,09.04.1.46. 30753,,,,,,'24 Jam,'24 jam,Sewa,> 500 M,Kkt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Duri Kelapa,Circle K,PT. Circleka Indonesia Utama,Jl. Daan Mogot Raya No. 147,100,00012-05/ PB/P/1.824. 271 Tgl. 27/08/ 2010,09.04.1.46. 30753,,,,,,'24 Jam,'24 jam,Sewa,> 500 M,Kkt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Raya Kedoya No. 3 Blok 6 A RT.002/07,80,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,< 500 M,Kkt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Alfamart,PT. Sumber Alfaria Trijaya,Jl. Kedoya Raya No. 7 RT.004/07,100,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Kkt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Alfamart,PT. Sumber Alfaria Trijaya,Komp. Green Garden Blok A.7 No. 62 RT.005/03,100,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wkt/Wdg,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Indomaret,PT. Indomarco Prismatama,Jl. Kedoya Raya No. 26 Blok 6 A RT.002/07,80,00254-02/PB/ P/1.824.271,09.01.1.46. 92196,340/5/JB/ 2013 Tgl. 03/05/ 2013,459/1.824.54/P Tgl. 26/09/ 2014,14183/IMB/2005 Tgl. 22/12/ 2005,,,'07.00,'22.00,Sewa,< 500 M,Kkt/ Kpd,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Indomaret,PT. Indomarco Prismatama,Jl. Sunrise Garden Blok A4/11 RT.002/05,100,00254-02/PB/ P/1.824.271,09.02.5.47. 34271 Tgl. 25/10/2013,233/6/JB/ 2012 Tgl. 05/06/ 2012,458/1.824.54/P Tgl. 26/09/ 2014,06770/ IMB/1984 Tgl. 21/07/ 1984,,,'07.00,'22.00,Sewa,> 500 M,Wkt/Wdg,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Indomaret,PT. Indomarco Prismatama,Apart. Centro City Jl. Gg. Macan Kav. 4-5 Daan Mogot,120,00254-02/PB/ P/1.824.271,09.02.3.46. 11172 Tgl. 09/05/2011,,166/1.824.54/P Tgl. 22/03/ 2013,,,,'07.00,'22.00,Sewa,> 500 M,Wfl,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Indomaret,PT. Indomarco Prismatama,Jl. Panjang Komp. Green Garden Blok Z.2 No. 44-45,120,00254-02/PB/ P/1.824.271,09.01.1.46. 92196,434/5/JB/ 2013 Tgl. 30/05/ 2013,457/1.824.54/P Tgl. 26/09/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,Wkt/Wdg,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Indomaret,PT. Indomarco Prismatama,Komp. Green Garden Blok Y.3 No. 55/56,120,00254-02/PB/ P/1.824.271,09.01.1.46. 92196,99/2/JB/2013 Tgl. 13/07/ 2012,500/1.824.54 Tgl. 20/12/ 2012,,,,'07.00,'22.00,Sewa,> 500 M,Wkt/Wdg,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Indomaret,PT. Indomarco Prismatama,Jl. Surya Sarana II N No. 06,100,00254-02/PB/ P/1.824.271,09.01.1.46. 92196,,90/-1.824. 54 Tgl. 13/03/ 2014,06770/ IMB/1984 Tgl. 28/07/ 1984,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Indomaret,PT. Indomarco Prismatama,Komp. Green Garden A/13 No. 1 RT.007/03,140,00254-02/PB/ P/1.824.271,09.01.1.46. 92196,300/6/JB/ 2014 Tgl. 18/06/ 2014,167/-1.824. 54 Tgl. 25/04/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,Wkt/Wdg,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Indomaret,PT. Indomarco Prismatama,Jl. Kedoya Raya No. 16 RT.003/06,120,00254-02/PB/ P/1.824.271,09.01.1.46. 92196,,523/-1.824. 54/P Tgl. 24/10/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Alfa Midi,PT. Midi Utama Indonesia,Jl. Kedoya Raya No. 69 RT.003/06,120,0032/PB/VII/BPPMPT/ 2013 Tgl. 30/08/ 2013,30.06.1.46. 04463 Tgl. 31/07/2013,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Alfa Midi,PT. Midi Utama Indonesia,Jl. Surya Wijaya X No. 32 A/B RT.015/017,120,0032/PB/VII/BPPMPT/ 2013,30.06.1.46. 04463 Tgl. 31/07/2013,,,,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kebun Jeruk,Kedoya Utara,Mor,PT. Moradi,Jl. Kedoya Raya 14-15 RT.014/08,120,06441-03/ PM/1.824.271 Tgl. 03/05/ 2013,09.02.1.46. 41043 Tgl. 07/05/2013,196/3/JB/ 2013 Tgl. 20/03/ 2013,119/1.824.54/P Tgl. 07/03/ 2013,,,,'07.00,'22.00,Sewa,< 500 M,Wkt/Wdg,,
Jakarta Barat,Kembangan,Meruya Selatan,Alfamart ,PT. Sumber Alfaria Trijaya,Jl. Kav. DKI Blok 136 RT.05/06 ,230 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,346/12/JB/ 2006,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kembangan,Meruya Selatan,Alfamart ,PT. Sumber Alfaria Trijaya,Jl. Raya Meruya Selatan RT.007/04,160 M,0025/PB/VII/ BPPT/2011,30.06.1.46. 01725,,,,,,'07.00,'22.00,Sewa,> 500 M,Wbs,,
Jakarta Barat,Kembangan,Meruya Selatan,Alfamart ,PT. Sumber Alfaria Trijaya,Jl. Raya Meruya Selatan RT.004/07,180 M,0025/PB/VII/ BPPT/2011,09.02.5.47. 33937,220/I/DU/JB/11/2011 Tgl. 07/11/ 2011,0101/P/ 1.751.21/ 2012 Tgl. 31/05/ 2012,,,3743/-1.824. 26 Tgl. 29-06- 2012,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kembangan,Meruya Selatan,Indomaret,PT. Indomarco Prismatama,Jl. H. Saaba RT.006/03,120 M,00254-02/PB/ P/1.824.271,09.01.1.46. 02196,,,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kembangan,Meruya Selatan,Indomaret,PT. Indomarco Prismatama,Jl. Raya Meruya Selatan No. 36 RT.007/02,120 M,00254-02/PB/ P/1.824.271,09.01.1.46. 02196,243/1/JB/IX/ 2008 Tgl. 26/08/ 2008,0194/P/ 1.751.21/ 2012 Tgl. 10/10/ 2012,,,4705/-1.824. 26 Tgl. 31-08- 2012,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
Jakarta Barat,Kembangan,Meruya Selatan,Indomaret,PT. Indomarco Prismatama,Jl. H. Saaba Komp.DPR II No. C-12 RT.009/02,140 M,00254-02/PB/ P/1.824.271,09.01.1.46. 02196,191/4/JB/ 2014 Tgl. 25/04/ 2014,0068/P/ 1.751.21/ 2014 Tgl. 14/03/ 2014,,,,'07.00,'22.00,Sewa,> 500 M,Wsd,,
Jakarta Barat,Kembangan,Meruya Selatan,Lawson,PT. Midi Utama Indonesia,Jl. Raya Meruya Selatan No. 8 RT.001/08,233 M,0032/PB/VII/BPPMPT/ 2013 Tgl. 30/08/ 2013,30.06.1.46. 04463 Tgl. 31/07/2013,,,12146/IMB/2011,,,'07.00,'22.00,Sewa,> 500 M,Wkt/ Wdg,,
