NO,KODIFIKASI,NAMA,LOKASI,KOTAMADYA,KECAMATAN,KELURAHAN,LUAS,JENIS
1,33000001,Taman Kebun Bibit Srengseng,-,Jakarta Barat,Kebon Jeruk,Srengseng,"69,967.00",Taman Rekreasi
2,33000002,Taman Kebun Bibit Ciganjur,-,Jakarta Selatan,Jagakarsa,Ciganjur,"48,670.00",Taman Rekreasi
3,854030001,Bumi Perkemahan,Jl. Harsono RM,Jakarta Selatan,Pasar Minggu,Ragunan,"74,717.00",Taman Rekreasi
4,33000003,Taman kebun Bibit Tebet,-,Jakarta Selatan,Tebet,Tebet Barat,"48,166.00",Taman Rekreasi
,,,,,,,,
