provinsi,wilayah,kecamatan,kelurahan,kode_kantor,nama_kantor,jenis,alamat
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Gambir,Petojo Selatan,10160A,Jakarta Pusat Kantor Walikota,KPCDK,Kantor Walikota
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Bendungan Hilir,10210A,Jakarta Pusat Pejompongan,KPCDK,Jl. Danau Buyan
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Bendungan Hilir,10210B,Jakarta Pusat BRI,KPCDK,Ged BRI
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Karet Tengsin,10220A,Jakarta Pusat Wismarajawali,KPCDK,Wisma Sudirman
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Karet Tengsin,10220B,Jakarta Pusat Dharmala Sakti,KPCDK,Jl. Jend. Sudirman No. 32
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Karet Tengsin,10220C,Jakarta Pusat Mid Plaza,KPCDK,Gd. Mid Plaza
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Karet Tangsin,10220D1,LE Artha Loka,LE,Gd. Arthaloka Jl Jendral sudirman Kav 2
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Karet Tangsin,10220D2,LE Wisma Nugrasantana,LE,Gd. Wisma Nugra Sentana
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Kebon Melati,10230A,Jakarta Pusat Kebon Melati,KPCDK,Kantor Kelurahan Kebon Melati
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Kebon Kacang,10240A,Jakarta Pusat Kebon Kacang,KPCDK,Kantor Kelurahan Kebon Kacang
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Tanah Abang,10250A,Jakarta Pusat Tanah Abang,KPCDK,Komp. Pasar Tanah abang
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Jati Petamburan,10260A,Jakarta Pusat Jati Petamburan,KPCDK,Jl. Jati Petamburan IV No. 44 RT008/RW005
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Gelora,10270A,Jakarta Pusat DPR,KPCDK,Ged DPR/MPR
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Gelora,10270B,Jakarta Pusat Manggala Wanabakti,KPCDK,Ged. Manggala Wanabakti
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Gelora,10270C,Jakarta Pusat Depdikbud,KPCDK,Komplek Diknas
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Tanah Abang,Gelora,10270D1,LE Gelora,LE,Kantor Kelurahan Gelora Senayan
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng,Menteng,10310A,Jakarta Pusat Menteng,KPCDK,Jl. Sumenep No. 9
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng,Pegangsaan,10320B,Jakarta Pusat Dharmala Manulife,KPCDK,Wisma Dharmala Manulife Cikini Raya
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng,Cikini,10330A,Jakarta Pusat Cikini,KPCDK,Jl. Cikini Raya No. 3
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,, ,10340D1,LE Mandiri Thamrin,LE,Gd. Mandiri Thamrin
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng,Gondangdia,10350A,Jakarta Pusat Sarinah,KPCDK,Jl. MH. Thamrin No. 11
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng,Gondangdia,10350B,Jakarta Pusat Nusantara Building,KPCDK,Jl. MH Thamrin No. 59
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng,Gondangdia,10350C,Jakarta Pusat Wisma Kosgoro,KPCDK,Jl. MH Thamrin No. 53
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Menteng,Gondangdia,10350D,Jakarta Pusat Permata Plaza,KPCDK,Jl. MH Thamrin
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Senen,Senen,10410A,Jakarta Pusat Senen,KPCDK,Kantor Kelurahan Senen
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Senen,Senen,10410B,Jakarta Pusat Atrium,KPCDK,Gd. Atrium Plaza
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Senen,Kenari,10430A,Jakarta Pusat Universitas Indonesia,KPCDK,Jl. Salemba Raya
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Cempaka putih,Cempaka Putih,10510A,Jakarta Pusat Cempaka Putih,KPCDK,Jl. Cempaka Putih Tengah XXVI
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Johar Baru,Kampung Rawa,10550A,Jakarta Pusat Kampung Rawa,KPCDK,Jl. Kampung Rawa Selatan V No. 21
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Cempaka Putih,Rawasari,10570A,Jakarta Pusat Rawa Sari,KPCDK,Jl. Pramuka Sari III
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Cempaka Putih,Rawasari,10570B,Jakarta Pusat Gang Tengah,KPCDK,Jl. Percetakan Negara No. 19
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Kemayoran,Harapan Mulya,10640A,Jakarta Pusat Perunggu,KPCDK,Jl. Perunggu
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Kemayoran,Sumur Batu,10640B,Jakarta Pusat Sumur Batu,KPCDK,Jl. Biduri Bulan No. 14
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Kemayoran,Serdang,10650A,Jakarta Pusat Serdang,KPCDK,Jl. Panca No. 32
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Sawah Besar,Pasar Baru,10710D1,LE Pasar Baru,LE,Jl. Pos No. 1
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Kemayoran,Gunung Sahari,10720A,Jakarta Pusat Kemayoran,KPCDK,Mal Mega Glodok Kemayoran
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Sawah besar,Gunung Sahari,10720B,Jakarta Pusat Gunung Sahari,KPCDK,Jl. Gunung Sahari No. 11
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Sawah besar,Mangga Dua,10730A,Jakarta Pusat Mangga Dua,KPCDK,Jl. Mangga Dua Dalam No. 14
Daerah Khusus Ibukota Jakarta,Jakarta Pusat,Sawah Besar,Mangga Dua Selatan,10730D1,LE Harco Mangga Dua,LE,Plaza Harco Mangga Dua
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Grogol Petamburan,Wijaya Kusuma,11000,Jakarta Barat,KPRK,Jl. Daan Mogot No. 20
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Pinangsia,Taman Sari,11100,Jakarta Barat Taman Fatahilah,KPCDK,Jl. Taman Fatahillah No. 3
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Tamansari,Pinangsia,11110D1,LE Mandiri Kota,LE,Gd. Mandiri Kota
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Taman Sari,Krukut,11140A,Jakarta Barat Krukut,KPCDK,Jl. Kejayan Dalam No. 33A
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Taman sari,Mampar,11160D1,LE Hayam Wuruk,LE,Jl. Kebun Jeruk No. 18 RT001/RW009
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Tambora,Tanah Sereal,11210A,Jakarta Barat Tanah Sereal,KPCDK,Jl. Pekapuran III No. 24
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Tambora,Duri Selatan,11270A,Jakarta Barat Duri Selatan,KPCDK,Jl. Duri Selatan VIII No. 9
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Tambora,Jembatan Besi,11320A,Jakarta Barat Jembatan Besi,KPCDK,Jl. Duri Baru Gg. AA No. 31
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Tambora,Angke,11330A,Jakarta Barat Angke,KPCDK,Jl. Angke Raya No. 31A
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Palmerah,Slipi,11410A,Jakarta Barat Slipi,KPCDK,Jl. KS. Tubun IV No. 34
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Palmerah,Kota Bambu,11420A,Jakarta Barat Kota Bambu,KPCDK,Jl. Kota Bambu Utara RT005/RW004
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Palmerah,Jatipulo,11430A,Jakarta Barat Jati Pulo,KPCDK,Jl. Semangka II No. 1
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Grogol Petamburan,Grogol,11440A,Jakarta Barat Trisakti,KPCDK,Kampus Trisakti
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Grogol Petamburan,Tomang,11440B,Jakarta Barat Tomang,KPCDK,Jl. Mandala Utara Raya No. 24
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Grogol Petamburan,Tomang,11440D1,LE Untar,LE,Kampus Untar 1
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Grogol Petamburan,Grogol,11450A,Jakarta Barat Grogol,KPCDK,Jl. Dr. Susilo Raya No. 1
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Grogol Petamburan,Jelembar,11460A,Jakarta Barat Jelambar,KPCDK,Jl. Perdana No. 3
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Grogol Petamburan,Jelambar Baru,11460B,Jakarta Barat Duta Mas,KPCDK,Komplek Perumahan Duta Mas
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,11470A,Jakarta Barat Tanjung Duren Utara,KPCDK,Jl. Tanjung Duren Utara VIII No. 416
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,11470B,Jakarta Barat Tanjung Duren Selatan,KPCDK,Jl. Lontar Raya No. 652
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Palmerah,Kemanggisan,11480A,Jakarta Barat Kemanggisan,KPCDK,Jl. Anggrek Rosliana No. 27
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Palmerah,Palmerah,11480B,Jakarta Barat Palmerah,KPCDK,Jl. KH. Syahdan No. 28
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk,Duri Kepa,11510A,Jakarta Barat Duri Kepa,KPCDK,Jl. Duri Tol No. 14
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk,Kedoya Utara,11520A,Jakarta Barat Kedoya,KPCDK,Jl. Kedoya Raya No. 20
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk,Kedoya Selatan,11520B,Jakarta Barat Sunrise Garden,KPCDK,Jl. Surya Mandala
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk,Kedoya Utara,11520C,Jakarta Barat Kedoya Utara,KPCDK,Komplek Taman Ratu
Daerah Khusus Ibukota Jakarta,Jakarta Barat,, ,11520D1,LE Green Garden,LE,Komplek Cengkareng Indah
Daerah Khusus Ibukota Jakarta,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,11530A,Jakarta Barat Kebon Jeruk,KPCDK,Jl. Raya Meruya Ilir No. 7
